id,naziv,vrijeme_pocetka,vrijeme_kraja,id_lokacija,id_tura,ishod,trosak_misije
3001,Vitez,"2010-10-16 00:00:00","2010-11-24 00:00:00",29,10,"Misija Vitez je bila vojna misija u Bosni i Hercegovini koja je imala za cilj da podrži implementaciju mirovnog sporazuma iz Dejtona i pomogne u obnovi mira i stabilnosti u zemlji nakon rata. Misija je trajala od 1995. do 2004. ",5507101.00
3002,Jugović,"2010-11-27 00:00:00","2010-12-20 00:00:00",20,10," Operacija Jugović bila je vojna misija koja se odvijala u Bosni i Hercegovini. Cilj misije bio je osigurati sigurnost i stabilnost u regiji te pomoći u sprečavanju sukoba između različitih etničkih skupina. ",6541048.00
3003,Zmaj,"2013-10-07 00:00:00","2013-10-17 00:00:00",36,7,"Operacija Zmaj je bila vojna misija koja je sprovedena u Južnoj Africi u cilju očuvanja mira i stabilnosti u zemlji. Misija je vodila UN i uključivala je trupa iz različitih zemalja koji su pomagali u obezbjeđenju sigurnosti u regiji i sprečavanju oružanih sukoba. Cilj misije bio je da se pruži podrška mirovnom procesu i da se spriječe nasilne konfliktne situacije u Južnoj Africi.",3855871.00
3004,Sparta,"2010-12-03 00:00:00","2012-12-08 00:00:00",19,3," Vojna misija Sparta bila je ime za jednu od najpoznatijih vojnih misija u povijesti. To je bila misija koja je okupirala grad-državu Spartu u staroj Grčkoj. Cilj misije bio je osigurati red i mir u gradu te spriječiti bilo kakve pobune ili nerede. ",1680718.00
3005,Borac,"2008-08-14 00:00:00","2009-03-11 00:00:00",38,1,"Vojna misija Borac bila je operacija koja se odvijala između Indije i Pakistana. Cilj operacije bio je osigurati sigurnost na granici između dviju zemalja te spriječiti daljnje sukobe između indijskih i pakistanskih snaga. ",6079519.00
3006,Odred,"2006-05-09 00:00:00","2006-08-17 00:00:00",27,13,"Vojna misija Odred je bila izvršena u Švicarskoj tokom prošlog vijeka. Cilj misije bio je da se osigura sigurnost u zemlji i da se spriječe terorističke akcije. Misija je uspješno izvršena zahvaljujući sposobnostima i profesionalizmu vojnih jedinica",3381107.00
3007,Slavija,"2007-06-09 00:00:00","2008-12-11 00:00:00",22,13,"Misija Slavija bila je vojna operacija koja se odnosila na obuku i treniranje vojnika za mirnovne misije u inozemstvu. Cilj misije bio je pomoći drugim zemljama u očuvanju mira i stabilnosti te promovirati demokraciju i ljudska prava.",5970893.00
3008,Jadran,"2012-10-27 00:00:00","2013-08-24 00:00:00",28,3,"Operacija Jadran je bila vojna misija u kojoj su vojne snage bile uključene u borbu protiv piratizma u regiji Jadrana. Cilj misije bio je osiguravanje sigurnosti na moru i sprječavanje terorističkih aktivnosti u regiji. ",6807180.00
3009,Ponos,"2010-12-15 00:00:00","2013-10-23 00:00:00",27,10,"Misija Ponos bila je vojna misija u Bosni i Hercegovini. Cilj misije bio je pružiti podršku i pomoć međunarodnim snagama koje su bile poslane u Bosnu i Hercegovinu u svrhu održavanja mira i stabilnosti u regiji.  Misija Ponos bila je jedna od najvećih međunarodnih vojnih misija u Bosni i Hercegovini, a trajala je više od deset godina.",2975836.00
3010,Mornar,"2019-06-22 00:00:00","2020-01-18 00:00:00",41,8,"Vojna misija Mornar je bila operacija koja se odvijala u periodu od 2010. do 2012. godine. Cilj misije bio je osigurati sigurnost tajvanske teritorijalne vode u Južnom Kineskom moru i spriječiti piratstvo u tom području.",8709357.00
3011,Sokol,"2015-10-05 00:00:00","2016-01-22 00:00:00",20,11,"Misija Sokol je bila vojna akcija koja je imala za cilj da spriječi ulazak ilegalnih oružanih grupa u zemlju i da zaštiti nacionalnu sigurnost i teritorijalni integritet države. Ova misija je također imala za cilj da spriječi širenje kriminala i nasilja na granici sa susjednim zemljama. ",9916296.00
3012,"Zlatni ljiljan","2012-12-24 00:00:00","2012-12-30 00:00:00",31,14,"Zlatni ljiljan je trening misija koju organizira američka vojska. Cilj misije je pružiti visokokvalitetno obrazovanje i trening vojnicima kako bi se osigurala njihova spremnost za buduće operacije. Trening se obično održava na vojnim bazama u različitim dijelovima zemlje i uključuje različite vježbe i simulirane scenarije koji se temelje na realnim operacijama. ",5019551.00
3013,Javor,"2014-03-17 00:00:00","2014-11-14 00:00:00",32,4,"Javor je bio terenska misija koja se održavala unutar Poljske. Cilj misije je bio da se osigura da vojnici budu spremni za različite vrste operacija u različitim okruženjima. Treninzi su uključivali fizičke vježbe upoznavanje sa oružjem i opremom. Ceijela operacija je provedena kako bi se steklo iskustvo u međunarodnim operacijama .",2062168.00
3014,Pobjeda,"2009-11-26 00:00:00","2010-01-07 00:00:00",21,9,"Operacija Pobjeda bila je vojna misija koja je provođena unutar Južne Koreje. Cilj misije bio je osigurati mir i stabilnost u zemlji kao i zaštititi južnokorejske interese i građane od prijetnji sjevernokorejskog režima. Misija je obuhvatala različite aktivnosti uključujući obuku vojnika izgradnju i održavanje vojne infrastrukture, te pružanje podrške civilnom stanovništvu.",8728552.00
3015,Vojnik,"2014-08-08 00:00:00","2015-07-07 00:00:00",23,4,"Trening misija vojnika u Poljskoj bila je namijenjena vojnicima koji su se željeli pripremiti za buduće vojne operacije. Cilj je bio usavršiti vojne vještine i taktike kao i rad u timu i pod stresom. Trening se odvijao na poljskoj vojnoj bazi i obuhvaćao je različite vježbe uključujući i one u terenskim uvjetima.",3318084.00
3016,"Narodna odbrana","2019-06-10 00:00:00","2019-08-21 00:00:00",34,8,"Trening misija narodna obrana je program obuke koji se provodi unutar Tajvana sa ciljem da se formira i osposobi nacionalna obrambena snaga koja će biti sposobna da zaštiti državu od vanjskih prijetnji. Ovaj program obuhvata različite vrste treninga uključujući fizičku pripremu obuku oružja i taktiku kao i obuku za rad u timu i postizanje ciljeva.",1692847.00
3017,Vukovi,"2016-12-17 00:00:00","2017-03-14 00:00:00",39,12,"Trening misija Vukovi je bila vojna vježba koja je održana unutar granica Norveške. Cilj misije je bio da se vojnici pripreme za različite vrste oružanih sukoba u hladnom i planinskom terenu. Vojnici su prošli kroz različite scenario-based treninge uključujući i borbu u snijegu i ledu kao i obuku u upotrebi različitih vrsta oružja i opreme za preživljavanje u teškim uvjetima. ",8843818.00
3018,Orkan,"2014-08-04 00:00:00","2015-02-20 00:00:00",27,4,"Trening misija Orkan u Poljskoj bila je trening misija koja je obuhvatila višednevne treninge za poljske vojne snage. Cilj ove misije bio je da se poljski vojnici spreme za buduće operacije u zahtjevnim okruženjima kao što su ratna zona ili područja s visokim rizikom od prirodnih katastrofa.",3493087.00
3019,Velikanka,"2022-03-23 00:00:00","2022-05-03 00:00:00",34,5,"Vojna misija Velikanka unutar Ukrajine je bila usmjerena na podršku ukrajinskoj vladi u njenoj borbi protiv proruskih snaga. Velikanka je poslala svoje vojnike da pomognu pri stecanju mira i stabilnosti u područjima koja su bila izložena sukobima te da pruže humanitarnu pomoć lokalnom stanovništvu.",2149934.00
3020,"Slavonska krila","2009-06-01 00:00:00","2020-12-01 00:00:00",28,1,"Vojna misija Slavonska krila unutar Indije i Pakistana bila je usmjerena na pružanje podrške i pomoć u stabilizaciji ovih zemalja nakon dugotrajnih sukoba i nestabilnosti. Misija je uključivala pomoć u obnovi infrastrukture pružanje humanitarne pomoći i pružanje sigurnosti lokalnom stanovništvu. ",5557034.00
3021,Jedinstvo,"2016-07-06 00:00:00","2018-02-23 00:00:00",21,12,"Trening misija Jedinstvo unutar Norveške je bila usmjerena na jačanje međusobne suradnje i povezanosti među članovima norveške vojske te poboljšanje njihovih taktičkih i tehničkih sposobnosti.",4525460.00
3022,Čardak,"2013-11-02 00:00:00","2014-08-14 00:00:00",41,7,"Trening misija Čardak u Južnoj Africi predstavlja važnu inicijativu za razvoj i unapređenje vojnih sposobnosti južnoafričkih vojnika. Ova misija se fokusira na obuku vojnika u modernim taktičkim tehnikama i tehnologijama kao i na podizanje njihove fizičke spremnosti i mentalne izdržljivosti. Cilj ovog treninga je da se formira elitna vojna jedinica koja će biti spremna da se suoči sa izazovima na terenu i da pruži efikasnu zaštitu za stanovnike Južne Afrike. ",4644302.00
